mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_preprocessor__article__vect__max_df,param_preprocessor__article__vect__max_features,param_clf__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.305320787429809,0.15804713043073237,0.18646759986877443,0.0025289100848515504,"LinearSVC(class_weight='balanced', random_state=42)",0.1,0.7,10000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 0.1, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 10000}",0.6834316987746939,0.6824141455257839,0.6851746206792991,0.6878322017518509,0.6842765229472436,0.6846258379357743,0.001845074742891617,9
5.029050874710083,0.10323781694214205,0.19303674697875978,0.001300599090957785,"LinearSVC(class_weight='balanced', random_state=42)",0.1,0.7,30000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 0.1, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 30000}",0.6848929340662421,0.6882886834226776,0.6864488326972001,0.6905887740092522,0.6887707274005752,0.6877979903191894,0.001961379559279365,3
4.516143369674682,0.46939508073651687,0.19241695404052733,0.010465694752558654,"LinearSVC(class_weight='balanced', random_state=42)",0.1,0.7,,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 0.1, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': None}",0.6850948067631509,0.6886575819068759,0.6871468827905881,0.6905989538852942,0.6885188068415828,0.6880034064374984,0.0018234053031817063,1
4.292032384872437,0.10928997160917112,0.18826398849487305,0.0010393262915144418,"LinearSVC(class_weight='balanced', random_state=42)",0.1,0.9,10000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 0.1, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 10000}",0.6834316987746939,0.6824141455257839,0.6851746206792991,0.6878322017518509,0.6842765229472436,0.6846258379357743,0.001845074742891617,9
5.002212619781494,0.09349709339671321,0.1996913433074951,0.008043892257785784,"LinearSVC(class_weight='balanced', random_state=42)",0.1,0.9,30000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 0.1, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 30000}",0.6848929340662421,0.6882886834226776,0.6864488326972001,0.6905887740092522,0.6887707274005752,0.6877979903191894,0.001961379559279365,3
4.43388934135437,0.11773504615289394,0.19982943534851075,0.014466856176742933,"LinearSVC(class_weight='balanced', random_state=42)",0.1,0.9,,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 0.1, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': None}",0.6850948067631509,0.6886575819068759,0.6871468827905881,0.6905989538852942,0.6885188068415828,0.6880034064374984,0.0018234053031817063,1
5.257027053833008,0.11495077044799522,0.1878145694732666,0.0013944501361674714,"LinearSVC(class_weight='balanced', random_state=42)",1.0,0.7,10000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 1, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 10000}",0.6600746578486196,0.6627978705132964,0.6598700557470195,0.6663965730691329,0.666338631626906,0.6630955577609948,0.0028647005911441245,23
6.640158987045288,0.2113290130448837,0.19982557296752929,0.007995026418801883,"LinearSVC(class_weight='balanced', random_state=42)",1.0,0.7,30000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 1, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': 30000}",0.6649606069695334,0.6658408553422492,0.665643267746435,0.6712091613367385,0.6709869376924633,0.6677281658174838,0.0027678528397185485,17
5.804701566696167,0.14540818064961625,0.1885509490966797,0.0006157575488945384,"LinearSVC(class_weight='balanced', random_state=42)",1.0,0.7,,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 1, 'preprocessor__article__vect__max_df': 0.7, 'preprocessor__article__vect__max_features': None}",0.6654414530133689,0.6662417558891761,0.6651228124699349,0.671282738586589,0.6700858464981179,0.6676349212914374,0.002544661433022896,19
5.201209545135498,0.08133510698663016,0.1864692211151123,0.0008353711331337636,"LinearSVC(class_weight='balanced', random_state=42)",1.0,0.9,10000,,"{'clf': LinearSVC(class_weight='balanced', random_state=42), 'clf__C': 1, 'preprocessor__article__vect__max_df': 0.9, 'preprocessor__article__vect__max_features': 10000}",0.6600746578486196,0.6627978705132964,0.6598700557470195,0.6663965730691329,0.666338631626906,0.6630955577609948,0.0028647005911441245,23
